word,transcription,translation,example_en,example_ru,audio_url
mention,[ˈmenʃən],упоминать,He didn't mention the problem.,Он не упомянул о проблеме.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/mention--_us_1.mp3
sunbathing,[ˈsʌnbeɪðɪŋ],загорание,I enjoy sunbathing on the beach.,Я люблю загорать на пляже.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/sunbathing--_us_1.mp3
hotel,[hoʊˈtel],отель,We stayed at a nice hotel.,Мы остановились в хорошем отеле.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/hotel--_us_1.mp3
pack,[pæk],пакет; упаковывать,Don't forget to pack your suitcase.,Не забудь упаковать чемодан.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/pack--_us_1.mp3
book,[bʊk],книга; бронировать,I need to book a flight.,Мне нужно забронировать рейс.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/book--_us_1.mp3
camping,[ˈkæmpɪŋ],кемпинг,We went camping last weekend.,Мы ходили в поход на прошлых выходных.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/camping--_us_1.mp3
sightseeing,[ˈsaɪtsiːɪŋ],осмотр достопримечательностей,We did some sightseeing in the city.,Мы осмотрели достопримечательности города.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/sightseeing--_us_1.mp3
amusement,[əˈmjuːzmənt],развлечение,The amusement park was crowded.,Парк развлечений был переполнен.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/amusement--_us_1.mp3
parcel,[ˈpɑːrsəl],посылка,The parcel arrived yesterday.,Посылка прибыла вчера.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/parcel--_us_1.mp3
break,[breɪk],перерыв; ломать,Let's take a break.,Давайте сделаем перерыв.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/break--_us_1.mp3
Heimlich maneuver,[ˈhaɪmlɪk məˈnuːvər],приём Геймлиха,The Heimlich maneuver saved his life.,Приём Геймлиха спас ему жизнь.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/maneuver--_us_1.mp3
burn,[bɜːrn],ожог; гореть,She got a burn from the hot water.,Она получила ожог от горячей воды.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/burn--_us_1.mp3
first aid,[fɜːrst eɪd],первая помощь,He knows first aid.,Он знает первую помощь.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/aid--_us_1.mp3
cost,[kɔːst],стоимость; стоить,What does it cost?,Сколько это стоит?,https://ssl.gstatic.com/dictionary/static/sounds/20200429/cost--_us_1.mp3
pill,[pɪl],таблетка,Take one pill twice a day.,Принимайте по одной таблетке дважды в день.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/pill--_us_1.mp3
medicine,[ˈmedɪsɪn],лекарство; медицина,The medicine helped him.,Лекарство помогло ему.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/medicine--_us_1.mp3
runny nose,[ˈrʌni noʊz],насморк,I have a runny nose.,У меня насморк.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/nose--_us_1.mp3
sneeze,[sniːz],чихать,She sneezed loudly.,Она громко чихнула.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/sneeze--_us_1.mp3
cough,[kɔːf],кашель; кашлять,He has a bad cough.,У него сильный кашель.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/cough--_us_1.mp3
chemist's,[ˈkemɪsts],аптека,Go to the chemist's for medicine.,Иди в аптеку за лекарством.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/chemist--_us_1.mp3
prescription,[prɪˈskrɪpʃən],рецепт,The doctor wrote a prescription.,Врач выписал рецепт.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/prescription--_us_1.mp3
prescribe,[prɪˈskraɪb],выписывать рецепт,The doctor will prescribe antibiotics.,Врач выпишет антибиотики.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/prescribe--_us_1.mp3
traumatology,[ˌtrɔːməˈtɑːlədʒi],травматология,He works in traumatology.,Он работает в травматологии.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/traumatology--_us_1.mp3
terrible,[ˈterəbəl],ужасный,The weather was terrible.,Погода была ужасной.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/terrible--_us_1.mp3
weak,[wiːk],слабый,He felt weak after the illness.,Он чувствовал себя слабым после болезни.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/weak--_us_1.mp3
ear,[ɪr],ухо,My ear hurts.,У меня болит ухо.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/ear--_us_1.mp3
ache,[eɪk],боль; болеть,My head aches.,У меня болит голова.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/ache--_us_1.mp3
stomach,[ˈstʌmək],желудок,My stomach hurts.,У меня болит желудок.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/stomach--_us_1.mp3
loud,[laʊd],громкий,The music was too loud.,Музыка была слишком громкой.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/loud--_us_1.mp3
inventor,[ɪnˈventər],изобретатель,He is a famous inventor.,Он известный изобретатель.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/inventor--_us_1.mp3
carry,[ˈkæri],нести,Can you carry this bag?,Можешь понести эту сумку?,https://ssl.gstatic.com/dictionary/static/sounds/20200429/carry--_us_1.mp3
least,[liːst],наименьший; по крайней мере,At least try.,По крайней мере попробуй.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/least--_us_1.mp3
van,[væn],фургон,We rented a van.,Мы арендовали фургон.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/van--_us_1.mp3
SUV,[ˌes juː ˈviː],внедорожник,He drives an SUV.,Он ездит на внедорожнике.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/suv--_us_1.mp3
whole,[hoʊl],весь; целый,The whole day was rainy.,Весь день шёл дождь.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/whole--_us_1.mp3
around,[əˈraʊnd],вокруг; около,We walked around the city.,Мы гуляли по городу.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/around--_us_1.mp3
board game,[bɔːrd ɡeɪm],настольная игра,Let's play a board game.,Давайте сыграем в настольную игру.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/board--_us_1.mp3
join,[dʒɔɪn],присоединяться,Join us for dinner.,Присоединяйся к нам на ужин.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/join--_us_1.mp3
prefer,[prɪˈfɜːr],предпочитать,I prefer tea to coffee.,Я предпочитаю чай кофе.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/prefer--_us_1.mp3
tangerine,[ˈtændʒəriːn],мандарин,I bought some tangerines.,Я купил мандарины.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/tangerine--_us_1.mp3
seem,[siːm],казаться,It seems easy.,Это кажется лёгким.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/seem--_us_1.mp3
shouted,[ˈʃaʊtɪd],кричал,He shouted for help.,Он кричал о помощи.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/shout--_us_1.mp3
within,[wɪˈðɪn],в пределах; в течение,We'll be there within an hour.,Мы будем там в течение часа.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/within--_us_1.mp3
couple,[ˈkʌpəl],пара; несколько,A couple of days ago.,Несколько дней назад.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/couple--_us_1.mp3
shouting,[ˈʃaʊtɪŋ],кричащий,Stop shouting!,Перестань кричать!,https://ssl.gstatic.com/dictionary/static/sounds/20200429/shout--_us_1.mp3
homeless,[ˈhoʊmləs],бездомный,He helps homeless people.,Он помогает бездомным.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/homeless--_us_1.mp3
certainly,[ˈsɜːrtənli],конечно,Certainly I will help.,Конечно, я помогу.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/certainly--_us_1.mp3
hug,[hʌɡ],объятие; обнимать,Give me a hug.,Обними меня.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/hug--_us_1.mp3
several,[ˈsevrəl],несколько,I've been there several times.,Я был там несколько раз.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/several--_us_1.mp3
unpleasant,[ʌnˈplezənt],неприятный,It was an unpleasant experience.,Это был неприятный опыт.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/unpleasant--_us_1.mp3
compartment,[kəmˈpɑːrtmənt],отсек; купе,Put it in the glove compartment.,Положи это в бардачок.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/compartment--_us_1.mp3
take away,[teɪk əˈweɪ],уносить; еда на вынос,Can I take away?,Можно на вынос?,https://ssl.gstatic.com/dictionary/static/sounds/20200429/away--_us_1.mp3
fellow traveller,[ˈfeloʊ ˈtrævələr],попутчик,He was a friendly fellow traveller.,Он был дружелюбным попутчиком.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/fellow--_us_1.mp3
noisy,[ˈnɔɪzi],шумный,The street was very noisy.,Улица была очень шумной.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/noisy--_us_1.mp3
similar,[ˈsɪmələr],похожий,They look similar.,Они выглядят похожими.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/similar--_us_1.mp3
folk,[foʊk],народ; люди,Folk music is popular.,Народная музыка популярна.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/folk--_us_1.mp3
during,[ˈdʊrɪŋ],в течение,During the meeting.,В течение встречи.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/during--_us_1.mp3
insanity,[ɪnˈsænəti],безумие,That's insanity!,Это безумие!,https://ssl.gstatic.com/dictionary/static/sounds/20200429/insanity--_us_1.mp3
stranger,[ˈstreɪndʒər],незнакомец,Don't talk to strangers.,Не разговаривай с незнакомцами.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/stranger--_us_1.mp3
unimportant,[ˌʌnɪmˈpɔːrtənt],неважный,It's unimportant.,Это неважно.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/unimportant--_us_1.mp3
colleague,[ˈkɑːliːɡ],коллега,My colleague helped me.,Мой коллега помог мне.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/colleague--_us_1.mp3
thought,[θɔːt],мысль; думал,I had a thought.,У меня была мысль.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/thought--_us_1.mp3
business trip,[ˈbɪznəs trɪp],командировка,He's on a business trip.,Он в командировке.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/business--_us_1.mp3
science,[ˈsaɪəns],наука,Science is important.,Наука важна.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/science--_us_1.mp3
destination,[ˌdestɪˈneɪʃən],назначение; место назначения,What's your destination?,Какое ваше место назначения?,https://ssl.gstatic.com/dictionary/static/sounds/20200429/destination--_us_1.mp3
fill up,[fɪl ʌp],заправлять; заполнять,Fill up the tank.,Заправь бак.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/fill--_us_1.mp3
phrase,[freɪz],фраза,Learn this phrase.,Выучи эту фразу.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/phrase--_us_1.mp3
way,[weɪ],путь; способ,Which way should I go?,Куда мне идти?,https://ssl.gstatic.com/dictionary/static/sounds/20200429/way--_us_1.mp3
wide,[waɪd],широкий,The road is wide.,Дорога широкая.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/wide--_us_1.mp3
speed bump,[spiːd bʌmp],лежачий полицейский,Slow down at the speed bump.,Сбавь скорость у лежачего полицейского.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/speed--_us_1.mp3
intersection,[ˌɪntərˈsekʃən],перекрёсток,Turn left at the intersection.,Поверни налево на перекрёстке.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/intersection--_us_1.mp3
crossroad,[ˈkrɔːsroʊd],перекрёсток,We're at a crossroad.,Мы на перекрёстке.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/crossroad--_us_1.mp3
cross the street,[krɔːs ðə striːt],переходить улицу,Look before you cross the street.,Посмотри перед тем как переходить улицу.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/cross--_us_1.mp3
give directions,[ɡɪv dɪˈrekʃənz],объяснить дорогу,Can you give directions?,Можешь объяснить дорогу?,https://ssl.gstatic.com/dictionary/static/sounds/20200429/direction--_us_1.mp3
owner,[ˈoʊnər],владелец,The owner is friendly.,Владелец дружелюбный.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/owner--_us_1.mp3
abandoned,[əˈbændənd],заброшенный,The house was abandoned.,Дом был заброшен.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/abandoned--_us_1.mp3
especially,[ɪˈspeʃəli],особенно,I like it especially.,Мне это особенно нравится.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/especially--_us_1.mp3
caviar,[ˈkæviɑːr],икра,Russian caviar is expensive.,Русская икра дорогая.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/caviar--_us_1.mp3
budget,[ˈbʌdʒɪt],бюджет,We have a tight budget.,У нас ограниченный бюджет.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/budget--_us_1.mp3
rent,[rent],аренда; сдавать в аренду,How much is the rent?,Сколько стоит аренда?,https://ssl.gstatic.com/dictionary/static/sounds/20200429/rent--_us_1.mp3
depends,[dɪˈpendz],зависит,It depends on you.,Это зависит от тебя.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/depend--_us_1.mp3
take into account,[teɪk ˈɪntuː əˈkaʊnt],принимать во внимание,Take into account the weather.,Прими во внимание погоду.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/account--_us_1.mp3
pity,[ˈpɪti],жалость; жаль,What a pity!,Какая жалость!,https://ssl.gstatic.com/dictionary/static/sounds/20200429/pity--_us_1.mp3
accommodation,[əˌkɑːməˈdeɪʃən],жильё; размещение,We found accommodation.,Мы нашли жильё.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/accommodation--_us_1.mp3
less,[les],меньше,Less sugar please.,Меньше сахара, пожалуйста.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/less--_us_1.mp3
disagree,[ˌdɪsəˈɡriː],не соглашаться,I disagree.,Я не согласен.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/disagree--_us_1.mp3
indeed,[ɪnˈdiːd],действительно,Indeed it is.,Действительно так.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/indeed--_us_1.mp3
wet,[wet],мокрый,The ground is wet.,Земля мокрая.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/wet--_us_1.mp3
brush,[brʌʃ],щётка; чистить,Brush your teeth.,Почисти зубы.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/brush--_us_1.mp3
rude,[ruːd],грубый,That was rude.,Это было грубо.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/rude--_us_1.mp3
silly,[ˈsɪli],глупый,Don't be silly.,Не будь глупым.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/silly--_us_1.mp3
spend,[spend],тратить; проводить,I spend time reading.,Я провожу время за чтением.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/spend--_us_1.mp3
cucumber,[ˈkjuːkʌmbər],огурец,I like cucumbers.,Я люблю огурцы.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/cucumber--_us_1.mp3
washing machine,[ˈwɑːʃɪŋ məˈʃiːn],стиральная машина,The washing machine is broken.,Стиральная машина сломана.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/washing--_us_1.mp3
bedside table,[ˈbedsaɪd ˈteɪbəl],прикроватная тумбочка,Put it on the bedside table.,Положи это на прикроватную тумбочку.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/bedside--_us_1.mp3
fridge,[frɪdʒ],холодильник,Put it in the fridge.,Положи это в холодильник.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/fridge--_us_1.mp3
sofa,[ˈsoʊfə],диван,Sit on the sofa.,Сядь на диван.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/sofa--_us_1.mp3
carpet,[ˈkɑːrpɪt],ковёр,The carpet is soft.,Ковёр мягкий.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/carpet--_us_1.mp3
bath,[bæθ],ванна,Take a bath.,Прими ванну.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/bath--_us_1.mp3
table,[ˈteɪbəl],стол,Sit at the table.,Сядь за стол.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/table--_us_1.mp3
wardrobe,[ˈwɔːrdroʊb],гардероб; шкаф,Open the wardrobe.,Открой шкаф.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/wardrobe--_us_1.mp3
bed,[bed],кровать,Go to bed.,Иди спать.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/bed--_us_1.mp3
armchair,[ˈɑːrmtʃer],кресло,Sit in the armchair.,Сядь в кресло.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/armchair--_us_1.mp3
chair,[tʃer],стул,The chair is comfortable.,Стул удобный.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/chair--_us_1.mp3
mirror,[ˈmɪrər],зеркало,Look in the mirror.,Посмотри в зеркало.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/mirror--_us_1.mp3
toilet,[ˈtɔɪlɪt],туалет,Where is the toilet?,Где туалет?,https://ssl.gstatic.com/dictionary/static/sounds/20200429/toilet--_us_1.mp3
bathroom,[ˈbæθruːm],ванная комната,The bathroom is clean.,Ванная комната чистая.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/bathroom--_us_1.mp3
dining room,[ˈdaɪnɪŋ ruːm],столовая,We eat in the dining room.,Мы едим в столовой.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/dining--_us_1.mp3
living room,[ˈlɪvɪŋ ruːm],гостиная,The living room is spacious.,Гостиная просторная.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/living--_us_1.mp3
balcony,[ˈbælkəni],балкон,We have a balcony.,У нас есть балкон.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/balcony--_us_1.mp3
kitchen,[ˈkɪtʃɪn],кухня,The kitchen is modern.,Кухня современная.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/kitchen--_us_1.mp3
everyone,[ˈevriwʌn],все,Everyone is here.,Все здесь.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/everyone--_us_1.mp3
retired,[rɪˈtaɪərd],на пенсии,He is retired.,Он на пенсии.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/retired--_us_1.mp3
prosecutor,[ˈprɑːsɪkjuːtər],прокурор,The prosecutor presented evidence.,Прокурор представил доказательства.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/prosecutor--_us_1.mp3
life,[laɪf],жизнь,Life is beautiful.,Жизнь прекрасна.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/life--_us_1.mp3
nephew,[ˈnefjuː],племянник,My nephew is smart.,Мой племянник умный.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/nephew--_us_1.mp3
such,[sʌtʃ],такой,Such a beautiful day.,Такой прекрасный день.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/such--_us_1.mp3
gather,[ˈɡæðər],собирать; собираться,We gather here every week.,Мы собираемся здесь каждую неделю.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/gather--_us_1.mp3
unofficial,[ˌʌnəˈfɪʃəl],неофициальный,It's unofficial.,Это неофициально.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/unofficial--_us_1.mp3
razor,[ˈreɪzər],бритва,He uses an electric razor.,Он использует электрическую бритву.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/razor--_us_1.mp3
make a list,[meɪk ə lɪst],составить список,Make a list of things to buy.,Составь список вещей для покупки.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/list--_us_1.mp3
event,[ɪˈvent],событие,It was a big event.,Это было большое событие.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/event--_us_1.mp3
tie,[taɪ],галстук; завязывать,He wears a tie.,Он носит галстук.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/tie--_us_1.mp3
celebrate,[ˈseləbreɪt],праздновать,Let's celebrate!,Давайте отпразднуем!,https://ssl.gstatic.com/dictionary/static/sounds/20200429/celebrate--_us_1.mp3
wish,[wɪʃ],желание; желать,I wish you luck.,Желаю тебе удачи.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/wish--_us_1.mp3
gift,[ɡɪft],подарок,What a nice gift!,Какой хороший подарок!,https://ssl.gstatic.com/dictionary/static/sounds/20200429/gift--_us_1.mp3
cooker,[ˈkʊkər],плита,The cooker is new.,Плита новая.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/cooker--_us_1.mp3
oven,[ˈʌvən],духовка,Preheat the oven.,Разогрей духовку.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/oven--_us_1.mp3
smoked,[smoʊkt],копчёный,Smoked salmon is delicious.,Копчёный лосось вкусный.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/smoked--_us_1.mp3
unusual,[ʌnˈjuːʒuəl],необычный,That's unusual.,Это необычно.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/unusual--_us_1.mp3
healthy,[ˈhelθi],здоровый,Eat healthy food.,Ешь здоровую пищу.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/healthy--_us_1.mp3
remoteness,[rɪˈmoʊtnəs],удалённость,The remoteness was appealing.,Удалённость была привлекательной.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/remoteness--_us_1.mp3
spotless,[ˈspɑːtləs],безупречный,The room was spotless.,Комната была безупречной.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/spotless--_us_1.mp3
pristine,[ˈprɪstiːn],нетронутый,The beach was pristine.,Пляж был нетронутым.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/pristine--_us_1.mp3
unspoilt,[ˌʌnˈspɔɪlt],неиспорченный,The nature is unspoilt.,Природа неиспорчена.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/unspoilt--_us_1.mp3
severe,[sɪˈvɪr],суровый; серьёзный,The weather was severe.,Погода была суровой.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/severe--_us_1.mp3
revive,[rɪˈvaɪv],оживлять; возрождать,We need to revive the economy.,Нам нужно возродить экономику.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/revive--_us_1.mp3
predictable,[prɪˈdɪktəbəl],предсказуемый,It was predictable.,Это было предсказуемо.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/predictable--_us_1.mp3
demanding,[dɪˈmændɪŋ],требовательный,The job is demanding.,Работа требовательная.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/demanding--_us_1.mp3
letter,[ˈletər],письмо; буква,I received a letter.,Я получил письмо.,https://ssl.gstatic.com/dictionary/static/sounds/20200429/letter--_us_1.mp3
